"Story","Title","Result","Date","Stability","Duration (s)"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","SUCCESS","2023-01-02T16:58:44.48+05:30[Asia/Calcutta]","0.0","50.38"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","SUCCESS","2023-01-02T16:59:34.896+05:30[Asia/Calcutta]","0.0","44.61"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to cancel details of temperature, alarms","SUCCESS","2023-01-02T17:00:20.24+05:30[Asia/Calcutta]","0.0","33.33"
