"Story","Title","Result","Date","Stability","Duration (s)"
"Language change in SMT application","Change language from English to French","SUCCESS","2023-01-02T16:50:32.002+05:30[Asia/Calcutta]","0.0","10.84"
"Language change in SMT application","Change language from French to French","SUCCESS","2023-01-02T16:50:43.691+05:30[Asia/Calcutta]","0.0","6.68"
"Language change in SMT application","Change language from French to English","SUCCESS","2023-01-02T16:50:51.062+05:30[Asia/Calcutta]","0.0","6.47"
"Language change in SMT application","Change language from English to French and verify sign in Page in french","SUCCESS","2023-01-02T16:50:58.222+05:30[Asia/Calcutta]","0.0","7.94"
"Login to SMT application","Login to the application with valid credentials","SUCCESS","2023-01-02T16:51:06.841+05:30[Asia/Calcutta]","0.0","18.69"
"Login to SMT application","Login to the application with invalid credentials","SUCCESS","2023-01-02T16:51:25.577+05:30[Asia/Calcutta]","0.0","18.84"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to add arrival line and arrival receipt type data and finalize it","SUCCESS","2023-01-02T16:52:15.237+05:30[Asia/Calcutta]","0.0","48.0"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to update arrival line and arrival receipt type data before finalizing","SUCCESS","2023-01-02T16:53:03.295+05:30[Asia/Calcutta]","0.0","66.3"
"Arrivals tab in SMT application for Store Operator user","Verify user is able to delete arrival line  And arrival receipt type data before finalizing","SUCCESS","2023-01-02T16:54:09.653+05:30[Asia/Calcutta]","0.0","74.01"
"Store Data tab in SMT application for Store Operator user","Verify user is able to add storage data","SUCCESS","2023-01-02T16:57:06.874+05:30[Asia/Calcutta]","0.0","27.11"
"Store Data tab in SMT application for Store Operator user","Verify user is able to delete storage data","SUCCESS","2023-01-02T16:58:09.56+05:30[Asia/Calcutta]","0.0","34.17"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to add details of temperature, alarms and save","SUCCESS","2023-01-02T16:58:44.48+05:30[Asia/Calcutta]","0.0","50.38"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to update details of temperature, alarms and save","SUCCESS","2023-01-02T16:59:34.896+05:30[Asia/Calcutta]","0.0","44.61"
"Temperature Logging tab in SMT application for Store Operator user","Verify user is able to cancel details of temperature, alarms","SUCCESS","2023-01-02T17:00:20.24+05:30[Asia/Calcutta]","0.0","33.33"
