"Story","Title","Result","Date","Stability","Duration (s)"
"Language change in SMT application","Change language from English to French","SUCCESS","2023-01-02T16:50:32.002+05:30[Asia/Calcutta]","0.0","10.84"
"Login to SMT application","Login to the application with valid credentials","SUCCESS","2023-01-02T16:51:06.841+05:30[Asia/Calcutta]","0.0","18.69"
"Login to SMT application","Login to the application with invalid credentials","SUCCESS","2023-01-02T16:51:25.577+05:30[Asia/Calcutta]","0.0","18.84"
