"Story","Title","Result","Date","Stability","Duration (s)"
"Language change in SMT application","Change language from English to French","PENDING","2023-01-06T13:58:24.243+05:30[Asia/Calcutta]","0.0","0.22"
"Language change in SMT application","Change language from French to French","PENDING","2023-01-06T13:58:24.483+05:30[Asia/Calcutta]","0.0","0.02"
"Language change in SMT application","Change language from French to English","PENDING","2023-01-06T13:58:24.526+05:30[Asia/Calcutta]","0.0","0.02"
"Language change in SMT application","Change language from English to French and verify sign in Page in french","PENDING","2023-01-06T13:58:24.56+05:30[Asia/Calcutta]","0.0","0.03"
